,DQF-00358,DQF-00248,DAF-00396,DHF-01055,DHF-01159,DAF-00280,DAF-00349,DAF-00442,DHF-01440,DAF-00351,DAF-00416,DCF-00198,DCF-00199,DCF-00104,DAF-00482,DCF-00197,DC2-00001,DAF-00367,DAF-00281,DAF-00419,DHF-01444,DAF-00437,DAF-00350,DHF-01540,DHF-01528,DCF-00173,DHF-01332,DHF-01334,DHF-01030,DAF-00283,DDF-00078,DHF-00847,DAF-00375,DAF-00399,DAF-00420,DAF-00443,DAF-00288,DAF-00502,DAF-00498,DHF-01406,DQF-00362,DAF-00517,DAF-00518,DAF-00491,DAF-00444,DHF-01530,DAF-00516,DAF-00512,DHF-01437,DAF-00284,DCF-00206,DHF-01436,DDF-00122,DHF-01438,DAF-00499,DAF-00488,DHF-01439,DHF-01441,DHF-01038,DHF-01550,DCF-00203,DAF-00451,DHF-01333,DAF-00448,DHF-01031,DAF-00460,DHF-00826,DAF-00464,DHF-01242,DAF-00385,DAF-00449,DHF-01529,DHF-01029,DHF-01037,DAF-00465,DHF-00927,DAF-00462,DHF-00881,DCF-00205,DAF-00450,DCF-00204,DAF-00504,DR5-00001,DHF-01331,DHF-01512,DCF-00252,DHF-01056,DAF-00255,DHF-00533,DAF-00503,DHF-00890,DHF-00905,DHF-00904,DHF-00894,DCF-00253,DHF-01080,DCF-00087,DCF-00085,DCF-00086,DCF-00254,DHF-00907
DQF-00358,1.0,0.09467621366623018,0.0,0.03520893951097651,0.06500270850261593,0.0,0.0,0.044946657497549475,0.0,0.0,0.031414043121877164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04309971159206156,0.0,0.0,0.0,0.12691486339407046,0.0467065399339359,0.048795003647426664,0.0,0.0,0.09596105247487252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02780639991600243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DQF-00248,0.09467621366623018,1.0,0.12898433165864914,0.0,0.030771051595386713,0.1248328674355025,0.39696836006484865,0.212768967441043,0.049071180301212554,0.18667163946336066,0.29493779699042855,0.0,0.0,0.02632881644813372,0.2279535349827936,0.0,0.036852666188185466,0.09588232870621594,0.160689880160337,0.26220592141012655,0.030556616567607043,0.12222646627042817,0.19235836939854495,0.0,0.04132621611321178,0.03905194574193374,0.01711512864596019,0.0,0.015439988006221976,0.11649600851904139,0.06832667180756566,0.1329806046506519,0.17044095077082275,0.08469100304102797,0.1336851974832808,0.0940899776044379,0.35704528156875526,0.14189626332752475,0.11386026533863143,0.1740673539787126,0.01001318227009786,0.03095398848076939,0.011549315477920617,0.18055261447896512,0.12056344366062481,0.018583423174937774,0.0,0.0,0.01972421118046462,0.09588232870621594,0.0,0.016016018904674106,0.0,0.01323140310062408,0.10249000771134847,0.13828346102446173,0.021606790785072147,0.0,0.0,0.0,0.0,0.13211031413252305,0.015957672558078225,0.28519883813807645,0.0,0.2148144675942848,0.023098630955841234,0.14769031341010072,0.08926159026727712,0.08282943498909671,0.11235531208237516,0.0,0.014316425279852692,0.0,0.089200929988258,0.0,0.08678652919404432,0.0,0.0,0.13920187724940272,0.0,0.07944720307577831,0.017022663741204886,0.0,0.0250008681007694,0.0,0.0,0.0,0.0,0.12234215627859973,0.0,0.0,0.0,0.0,0.009942991232100195,0.0,0.0,0.01711512864596019,0.0,0.0,0.0
DAF-00396,0.0,0.12898433165864914,1.0,0.0,0.0,0.08398387664337816,0.03237195408151635,0.06560798513518475,0.0,0.07427198887778831,0.0,0.0,0.0,0.0,0.042174116783665,0.0,0.0,0.0,0.0,0.04128614119223852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09642365197998376,0.13191121325277158,0.0,0.11743577988830127,0.0,0.0,0.0,0.0,0.0,0.0,0.059385568684867183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07242068243779014,0.0,0.07576538541439333,0.0,0.04478110755198991,0.0,0.0,0.0,0.0,0.06396021490668312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09811049102515929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DHF-01055,0.03520893951097651,0.0,0.0,1.0,0.5492823436123784,0.0,0.0,0.0,0.0,0.0,0.029494803841956824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3649305827766635,0.38152115551782234,0.29206345641622106,0.0,0.0,0.5098745673377939,0.14197614717146007,0.14599183064490293,0.0,0.0,0.0,0.0,0.042271868634116104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12026142323020866,0.0,0.0,0.0,0.0,0.0642824346533225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22360679774997896,0.13062203783765447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047475724351553956,0.0,0.041590519181619455,0.0,0.0
DHF-01159,0.06500270850261593,0.030771051595386713,0.0,0.5492823436123784,1.0,0.0,0.0,0.021912408566100935,0.0,0.0,0.034033298132333134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04673317896361899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028015979891655936,0.0,0.0,0.029877751317741445,0.3093678701195281,0.3521819856570053,0.19030844390866536,0.0,0.0,0.3685930371871309,0.06552905481599207,0.1540171257313038,0.0,0.0,0.0,0.0,0.08779756624183897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09515422195433268,0.0,0.0,0.0,0.0,0.05933908290969266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030515685756243242,0.0,0.16888199063418033,0.18086570557453926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAF-00280,0.0,0.1248328674355025,0.08398387664337816,0.0,0.0,1.0,0.04984324030193146,0.0,0.0,0.0,0.045185642484658346,0.0,0.0,0.0,0.06926471828716478,0.0,0.0,0.0,0.12519577145903357,0.0,0.0,0.0,0.07541801980050405,0.0,0.0,0.0,0.0,0.0,0.0,0.1132730943577198,0.0,0.0,0.0,0.15836151649297917,0.0,0.1072112534837795,0.06199419003899315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12211250217453272,0.0,0.0,0.0,0.0,0.18208926018230742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAF-00349,0.0,0.39696836006484865,0.03237195408151635,0.0,0.0,0.04984324030193146,1.0,0.1635371185276296,0.0,0.18513336483908854,0.06531376626023969,0.0,0.0,0.0,0.2302736124687838,0.0,0.0,0.052640328759672485,0.0868630678689268,0.09311041032584418,0.0,0.03220968762570114,0.3161385005054385,0.0,0.0,0.0,0.0,0.0,0.0,0.11461173065484825,0.04801536737673436,0.0,0.15290346596134255,0.06867128475389923,0.040262109532126424,0.08265009698316582,0.24493331128658405,0.08596129690236806,0.052640328759672485,0.025483910993557093,0.0,0.0,0.0,0.10573347964141908,0.07942860040630748,0.0,0.0,0.0,0.0,0.07369646026354147,0.0,0.016882463566786056,0.0,0.0,0.04801536737673436,0.07591896180011234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11562604008700465,0.0,0.10099241969834155,0.0,0.044735677257918244,0.029403287471319213,0.044774560948229895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029113592845163547,0.0,0.0536828127095019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056069869209473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAF-00442,0.044946657497549475,0.212768967441043,0.06560798513518475,0.0,0.021912408566100935,0.0,0.1635371185276296,1.0,0.0,0.12864285831551994,0.02823912473624525,0.0,0.0,0.0,0.06493130047435654,0.0,0.0,0.10241831129983783,0.04694525268130202,0.03972760788523301,0.0,0.0,0.08837454020503364,0.0,0.020773312081168813,0.0,0.0,0.0,0.0,0.039819890490142416,0.0,0.045454545454545456,0.041318433837920436,0.07422696190252055,0.09791868147508004,0.0,0.125917218386151,0.06968683416725756,0.0,0.041318433837920436,0.0,0.0,0.0,0.045715032088249445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0861640436855329,0.0,0.0,0.0,0.0,0.0,0.04181210050035454,0.0,0.10623340232747822,0.0,0.09479940983242018,0.0,0.0,0.0,0.054446550648047085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10384755040678714,0.0,0.05222329678670935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DHF-01440,0.0,0.049071180301212554,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.08471737420873575,0.0,0.0,0.0,0.0,0.0,0.0,0.305887645160749,0.0,0.0,0.0,0.05475400745557385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07214791053658227,0.0,0.0,0.0,0.0,0.0,0.5090278103806222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06256792741924412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAF-00351,0.0,0.18667163946336066,0.07427198887778831,0.0,0.0,0.0,0.18513336483908854,0.12864285831551994,0.0,1.0,0.02397622736783401,0.0,0.0,0.0,0.1837648579176322,0.0,0.0,0.0,0.05314470910554976,0.03597913814805773,0.0,0.0,0.2401080729547181,0.0,0.0,0.0,0.0,0.0,0.0,0.060104522490764825,0.0,0.0,0.04677482858427089,0.10503645397539192,0.06158307988526832,0.132738695597334,0.14254548778213924,0.0,0.0,0.0,0.0,0.0,0.0,0.03881402181239959,0.09719228129551709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13219579477176954,0.06967330142916175,0.0,0.0,0.0,0.0,0.0,0.07888947910127371,0.0,0.09196527524378753,0.0,0.10731835001770904,0.0,0.0,0.0,0.0,0.11147728228665882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06412437942429183,0.0,0.07882634225314346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
