,DQF-00358,DQF-00248,DAF-00396,DHF-01055,DHF-01159,DAF-00280,DAF-00349,DAF-00442,DHF-01440,DAF-00351,DAF-00416,DCF-00198,DCF-00199,DCF-00104,DAF-00482,DCF-00197,DC2-00001,DAF-00367,DAF-00281,DAF-00419,DHF-01444,DAF-00437,DAF-00350,DHF-01540,DHF-01528,DCF-00173,DHF-01332,DHF-01334,DHF-01030,DAF-00283,DDF-00078,DHF-00847,DAF-00375,DAF-00399,DAF-00420,DAF-00443,DAF-00288,DAF-00502,DAF-00498,DHF-01406,DQF-00362,DAF-00517,DAF-00518,DAF-00491,DAF-00444,DHF-01530,DAF-00516,DAF-00512,DHF-01437,DAF-00284,DCF-00206,DHF-01436,DDF-00122,DHF-01438,DAF-00499,DAF-00488,DHF-01439,DHF-01441,DHF-01038,DHF-01550,DCF-00203,DAF-00451,DHF-01333,DAF-00448,DHF-01031,DAF-00460,DHF-00826,DAF-00464,DHF-01242,DAF-00385,DAF-00449,DHF-01529,DHF-01029,DHF-01037,DAF-00465,DHF-00927,DAF-00462,DHF-00881,DCF-00205,DAF-00450,DCF-00204,DAF-00504,DR5-00001,DHF-01331,DHF-01512,DCF-00252,DHF-01056,DAF-00255,DHF-00533,DAF-00503,DHF-00890,DHF-00905,DHF-00904,DHF-00894,DCF-00253,DHF-01080,DCF-00087,DCF-00085,DCF-00086,DCF-00254,DHF-00907
DQF-00358,0.7513208871432763,-4.728459376885824,-4.708110731494021,-4.582579849410163,-3.8134637316402498,-inf,-7.687470965434985,-4.2930732322151774,-3.4966066263003093,-4.935179640039943,-4.911644125579153,-inf,-inf,-5.2930732322151774,-6.094169163801099,-inf,-2.7081107314940214,-inf,-inf,-4.155569708465242,-inf,-2.8925353026314484,-5.848591955043851,-2.7722410689137367,-5.552459861033826,-inf,-inf,-inf,-5.388230465255518,-inf,-inf,-4.2930732322151774,-inf,-3.7081107314940214,-inf,-4.003566615020192,-4.999106966829492,-inf,-inf,-inf,-2.882885132597729,-4.50417984600511,-4.056034034914328,-inf,-inf,-3.5640345538206,-inf,-3.4966066263003093,-inf,-inf,-inf,-5.75647375305542,-5.458132478485673,-inf,-3.5706072077440862,-inf,-inf,-2.949118830997816,-inf,-4.640996535635484,-inf,-4.534081331718972,-inf,-5.263629454322695,-inf,-5.921104454828219,-3.056034034914328,-3.418604114299036,-4.155569708465242,-inf,-4.892535302631448,-inf,-inf,-5.4774978033526045,-inf,-inf,-inf,-inf,-inf,-4.658070048994426,-inf,-inf,-4.106660107984296,-inf,-5.167542350131319,-inf,-2.5706072077440862,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-3.9211044548282192,-4.674943867558822,-inf,-inf
DQF-00248,-4.728459376885824,-3.4065312819984612,-4.058607978578154,-10.325394519273056,-6.971315900781987,-3.805080658488736,-3.926459897302127,-4.128997306469552,-4.847103873384443,-4.138835498794804,-3.759641032134103,-7.832796036700559,-inf,-6.643570479299311,-3.930093238055474,-8.654458795442046,-4.8659629006357585,-4.106971000139553,-3.9024887766608725,-3.7588330259293423,-4.991493782719617,-3.7284593768858234,-4.052247813798713,-6.930093238055474,-6.622849188925224,-5.506066955549375,-7.078956623969956,-7.31342187760698,-7.961120133676099,-4.188939846925834,-4.406531281998461,-3.80706921158219,-4.001689549825506,-4.165523182494666,-4.277248265053495,-4.1614187841619295,-4.027676119026263,-3.8339525057331376,-3.859043486695968,-3.9713159007819874,-8.625699802460623,-7.176605187976605,-8.213886204056065,-3.7726591807963588,-4.031022146906255,-8.011393340157323,-7.764083286616545,-inf,-6.991493782719617,-4.106971000139553,-8.264512277126034,-7.592397827309795,-inf,-7.406531281998461,-3.821568781277305,-4.050387471773186,-6.728459376885824,-6.106971000139553,-8.945690093106492,-8.798848704777221,-8.61598464762741,-3.937045998697241,-6.8659629006357585,-3.9840763111571342,-8.83279603670056,-3.9292095044652746,-6.213886204056065,-3.7184752883132015,-4.31342187760698,-4.229653519914382,-4.349947753632094,-6.576456283440773,-7.179120785895389,-inf,-4.12273831599787,-6.991493782719617,-3.8539902589696826,-inf,-8.535814298943428,-4.423604795357403,-inf,-4.349947753632094,-6.679549776404877,-inf,-7.155469517830743,-8.360727592385336,-6.728459376885824,-8.360727592385336,-7.576456283440773,-3.9273634452999016,-inf,-inf,-inf,-inf,-8.230959717415006,-inf,-8.450925401356914,-7.078956623969956,-7.832796036700559,-inf,-inf
DAF-00396,-4.708110731494021,-4.058607978578154,1.1987798641144976,-inf,-4.950967255390185,-2.0742386302919185,-5.240011988463763,-3.5236861603565934,-inf,-3.1657925681813586,-6.049147649329088,-inf,-inf,-inf,-4.061747686108721,-inf,-inf,-2.501659854026595,-3.582579849410162,-4.123148230772865,-inf,-inf,-4.4011329780726305,-inf,-inf,-3.7081107314940214,-inf,-inf,-inf,-3.2274848905876006,-3.123148230772865,-3.8456142552439556,-inf,-1.6756892538016437,-1.9938652138278985,-3.556107638048971,-3.3292555685218232,-4.0866223547477505,-inf,-3.9509672553901845,-inf,-inf,-inf,-3.0742386302919185,-3.0106735015144523,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-4.445076325660227,-inf,-inf,-inf,-inf,-2.501659854026595,-inf,-3.5937780560150263,-inf,-3.888682977135842,-inf,-inf,-3.7081107314940214,-3.3247820919425153,-2.860113824939071,-inf,-inf,-inf,-2.3247820919425153,-inf,-inf,-inf,-inf,-2.625648571302048,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-3.8456142552439556,-inf,-inf,-inf,-2.2606517545228,-inf,-inf,-inf,-inf,-inf,-inf,-1.3861826366066587
DHF-01055,-4.582579849410163,-10.325394519273056,-inf,-0.26065175452279976,-1.2404738725851694,-inf,-inf,-inf,-inf,-inf,-5.508579267966385,-inf,-inf,-inf,-inf,-5.508579267966385,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-6.564432502699902,-5.167542350131319,-inf,-5.167542350131319,-6.400203106921594,-inf,-inf,-inf,-6.410398874027482,-inf,-inf,-inf,-8.596042109216725,-inf,-inf,-6.410398874027482,-1.8651104308697533,-1.9800995874309764,-1.9805438353300646,-inf,-inf,-1.6603993827770482,-2.296275664253521,-1.701224345908781,-inf,-inf,-inf,-inf,-4.470105120151749,-4.845614255243956,-inf,-inf,-inf,-3.9610914726638917,-inf,-6.652969177301561,-inf,-inf,-5.305045873881253,-inf,-inf,-inf,-2.2606517545228,-inf,-5.167542350131319,-inf,-inf,-2.8456142552439556,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-6.670042690660502,-inf,-inf,-4.118632749650372,-inf,-7.179514991797395,-inf,-1.123148230772865,-2.214848064909675,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-3.720083373160097,-4.933077096494295,-4.101954008503742,-inf,-inf
DHF-01159,-3.8134637316402498,-6.971315900781987,-4.950967255390185,-1.2404738725851694,-0.4915356367528872,-inf,-8.930327489331148,-5.950967255390185,-inf,-inf,-5.41753505530911,-inf,-inf,-inf,-7.337025687697262,-inf,-inf,-inf,-inf,-6.398426232361405,-inf,-5.135391826527612,-inf,-inf,-4.987961462872386,-inf,-5.163960978724383,-5.398426232361405,-7.63108698915168,-inf,-4.813463731640249,-5.535929756111341,-6.64128275625757,-inf,-inf,-5.246423138916356,-6.241963490725656,-inf,-inf,-5.056320255536413,-2.2188510608853744,-2.210983469661064,-2.7139280580893352,-6.3495166318804594,-inf,-2.243954883325606,-3.5271595464836087,-1.739463150196473,-6.398426232361405,-inf,-inf,-inf,-3.5310640009395247,-6.076498137474044,-inf,-inf,-inf,-4.191975354893979,-inf,-6.883853059531647,-inf,-inf,-4.535929756111341,-inf,-5.9178003914549855,-7.163960978724383,-2.7139280580893352,-inf,-5.398426232361405,-5.015097592809901,-inf,-3.0764981374740437,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-5.900926572890589,-inf,-inf,-5.3495166318804594,-5.398426232361405,-5.410398874027482,-inf,-1.6435387301979372,-1.8607694464186064,-inf,-inf,-inf,-inf,-inf,-4.950967255390185,-6.900926572890589,-inf,-5.535929756111341,-6.163960978724383,-4.9178003914549855,-inf,-inf
DAF-00280,-inf,-3.805080658488736,-2.0742386302919185,-inf,-inf,1.8002304876242226,-4.316633270066676,-5.244163631734231,-inf,-3.8862700395589957,-3.862734525098207,-inf,-inf,-inf,-3.045259563320153,-inf,-inf,-inf,-1.6592011310130748,-5.106660107984296,-inf,-2.843625702150502,-2.799682354562905,-inf,-inf,-inf,-inf,-inf,-inf,-1.6260342670778754,-inf,-3.2441636317342306,-4.3495166318804594,-0.6592011310130746,-inf,-1.3696945138180898,-3.950197366348546,-inf,-2.90020923051687,-4.3495166318804594,-inf,-inf,-inf,-4.05775050750335,-1.4092228780047271,-inf,-inf,-inf,-inf,-0.578281135629507,-inf,-inf,-inf,-inf,-inf,-3.843625702150502,-inf,-inf,-inf,-inf,-3.4092228780047273,-inf,-inf,-inf,-inf,-4.872194854347273,-inf,-3.36969451381809,-inf,-2.7233314684327903,-inf,-inf,-inf,-inf,-inf,-inf,-2.106660107984296,-inf,-inf,-3.609160448513479,-inf,-1.8436257021505023,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-3.2441636317342306,-3.872194854347273,-inf,-inf,-inf
DAF-00349,-7.687470965434985,-3.926459897302127,-5.240011988463763,-inf,-8.930327489331148,-4.316633270066676,-1.7805803698264662,-3.695691472239953,-inf,-3.337797880064718,-5.121617287661533,-inf,-inf,-7.824974489184919,-3.1025084647138286,-inf,-5.240011988463763,-4.159091993080196,-3.9769775826299694,-4.439543451991399,-4.950505371268779,-4.839474058880034,-2.522512216886022,-6.304142325883479,-8.084361118003569,-6.687470965434985,-inf,-inf,-7.92013172222526,-3.39949020247096,-4.102508464713829,-5.824974489184919,-3.345364988609992,-3.655049487742607,-5.19561786910531,-3.5354678719899346,-3.7584187199023074,-3.744054493801352,-4.159091993080196,-5.930327489331148,-inf,-inf,-inf,-3.7316707693455196,-3.8201087340131035,-inf,-inf,-inf,-inf,-3.6736651659099544,-inf,-6.703412509304006,-inf,-inf,-4.102508464713829,-4.102508464713829,-6.424436559601191,-inf,-8.319739180934498,-8.172897792605227,-inf,-6.065982588688715,-inf,-4.473602616405075,-inf,-4.205078198354376,-inf,-4.628577276381416,-5.102508464713829,-4.304142325883479,-6.424436559601191,-inf,-inf,-inf,-inf,-inf,-5.687470965434985,-inf,-inf,-5.868043211076806,-inf,-4.102508464713829,-6.638561364954039,-inf,-8.699443607101061,-inf,-inf,-inf,-inf,-4.240011988463763,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-7.206845124528564,-inf,-inf
DAF-00442,-4.2930732322151774,-4.128997306469552,-3.5236861603565934,-inf,-5.950967255390185,-5.244163631734231,-3.695691472239953,-0.38618263660665875,-4.634110150050244,-3.1657925681813586,-5.634110150050244,-inf,-inf,-inf,-4.231672687551034,-inf,-inf,-2.501659854026595,-4.167542350131319,-4.971145137327815,-inf,-5.030038826381383,-3.664167383906424,-inf,-6.105000884062606,-5.2930732322151774,-6.058607978578154,-inf,-6.525733989005452,-4.227484890587601,-inf,-3.8456142552439556,-4.535929756111341,-2.8456142552439556,-3.2162576351643466,-5.141070138770127,-4.021133273159491,-3.349656760581545,-4.0866223547477505,-4.535929756111341,-7.60535115706882,-6.963611464642407,-inf,-4.244163631734231,-4.595636002235608,-inf,-inf,-inf,-5.2930732322151774,-4.0866223547477505,-inf,-inf,-inf,-inf,-3.7081107314940214,-3.222683904323779,-inf,-4.0866223547477505,-6.92534144771469,-5.778500059385419,-inf,-4.0866223547477505,-inf,-3.898632637543447,-inf,-3.599176359940857,-inf,-inf,-5.2930732322151774,-3.3247820919425153,-6.030038826381383,-inf,-inf,-6.615001327102539,-inf,-inf,-inf,-inf,-inf,-3.336141954107063,-inf,-3.4450763256602275,-inf,-inf,-6.305045873881253,-inf,-inf,-inf,-inf,-4.430576755965112,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-6.058607978578154,-inf,-inf,-inf
DHF-01440,-3.4966066263003093,-4.847103873384443,-inf,-inf,-inf,-inf,-inf,-4.634110150050244,2.4102839693082094,-inf,-inf,-inf,-inf,-2.0491476493290883,-inf,-inf,-inf,-inf,-inf,-4.496606626300309,1.2403589678658966,-2.2335722204665154,-inf,-2.1132779867488036,-3.3085342781477376,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-3.5897160306917906,-inf,-4.925106385385716,-inf,-inf,-2.739463150196473,-inf,-inf,-inf,-inf,-2.7991693963207402,-inf,-inf,-inf,-3.4966066263003093,-inf,-inf,-2.512548170169331,-inf,-3.174678531412947,-1.9116441255791532,-3.2335722204665154,-inf,1.7098442511671172,-inf,-inf,-inf,-inf,-2.6341101500502444,-4.189628872878918,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-3.9991069668294927,-inf,-inf,-inf,-inf,-2.923616767245229,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-3.2621413726632866,-3.015980785393889,-inf,-inf
DAF-00351,-4.935179640039943,-4.138835498794804,-3.1657925681813586,-inf,-inf,-3.8862700395589957,-3.337797880064718,-3.1657925681813586,-inf,-0.028289044431423795,-5.691254057153853,-inf,-inf,-inf,-2.5518510004884365,-inf,-inf,-inf,-3.8096487579560834,-4.935179640039943,-inf,-4.672145234206148,-2.043239385897395,-4.551851000488437,-7.332069792608527,-4.935179640039943,-inf,-inf,-inf,-3.454553799133522,-inf,-5.072683163789877,-4.178036163936105,-2.1657925681813586,-3.7063609495440613,-1.9758216245372882,-3.6632396809842565,-4.313691263293672,-3.7287287625725156,-5.178036163936105,-inf,-7.605717872467173,-inf,-4.30130753883784,-2.652779909339217,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-1.7652546385976298,-3.350217139318786,-5.672145234206148,-inf,-6.567447855539455,-inf,-inf,-2.99176316840631,-inf,-3.927762168477459,-5.454553799133522,-3.241282767765622,-inf,-inf,-inf,-3.5518510004884365,-2.6721452342061482,-inf,-inf,-6.257107734927304,-4.551851000488437,-inf,-2.935179640039942,-inf,-inf,-3.852717479847969,-inf,-2.6721452342061482,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-5.700714386402919,-inf,-inf,-inf
